Id,Brand,Category,Name,Rating,Gender,Notes,Recommended Time,Year,Perfume Url
2549,Dolce & Gabbana,deodorant,Dolce & Gabbana,,men,"Lavender, Tarragon, Clary Sage, Bergamot, Lemon",evening,1994,https://www.fragrancenet.com/cologne/dolce-and-gabbana/dolce-and-gabbana/deodorant#134904
2550,Oscar de la Renta,eau de parfum,Extraordinary,3.75,women,"Neroli, Cherry blossom, Peony, Rose, Magnolia",,2015,https://www.fragrancenet.com/perfume/oscar-de-la-renta/extraordinary/eau-de-parfum#267086
2551,Fendi,eau de parfum,Fendi L'Acquarossa Elixir,5,women,,,,https://www.fragrancenet.com/perfume/fendi/fendi-lacquarossa-elixir/eau-de-parfum#291268
2552,Elizabeth Arden,hydrating cream cleanser,Fifth Avenue,,women,"Magnolia, Linden blossom, Mandarin orange, Lilac, Lily of the valley",daytime,1996,https://www.fragrancenet.com/perfume/elizabeth-arden/fifth-avenue/hydrating-cream-cleanser#218139
2553,Elizabeth Arden,eau de parfum,Fifth Avenue Nyc,,women,"Bergamot, Peach, Apple, Black currant, Jasmine",,2013,https://www.fragrancenet.com/perfume/elizabeth-arden/fifth-avenue-nyc/eau-de-parfum#241995
2554,Succes de Paris,eau de toilette,Fujiyama Gentleman,4.333,men,"Lavender, Violet, Anise, Cinnamon, Musk",casual,1995,https://www.fragrancenet.com/cologne/succes-de-paris/fujiyama-gentleman/edt#189395
2555,Elizabeth Arden,eau de toilette,Green Tea Lotus,5,women,"Plum, Cherry blossom, Yuzu, Lily, Lotus",daytime,2008,https://www.fragrancenet.com/perfume/elizabeth-arden/green-tea-lotus/edt#196340
2556,Marvel,eau de toilette,Iron Man,5,men,"Apple, Cinnamon, Sandalwood, Clove, Tarragon",,2016,https://www.fragrancenet.com/cologne/marvel/iron-man/edt#294711
2557,Jennifer Aniston,eau de parfum spray 2.9 oz & body mist 8 oz & eau de parfum spray .5 oz,Jennifer Aniston Near Dusk,,women,"Pink pepper, Nectarine, Coconut, Sea notes, Jasmine",,2015,https://www.fragrancenet.com/perfume/jennifer-aniston/jennifer-aniston-near-dusk/eau-de-parfum-spray-2.9-oz-and-body-mist-8-oz-and-eau-de-parfum-spray-.5-oz#299062
2558,Jivago,eau de toilette,Jivago 24k,,men,"Coriander, Cardamom, Vetiver, Sandalwood",daytime,1995,https://www.fragrancenet.com/cologne/jivago/jivago-24k/edt#122125
2559,Kenneth Cole,aftershave balm,Kenneth Cole Mankind Hero,,men,"Lemon, Coriander, Mountain Air, Vanilla, Clary Sage",,2016,https://www.fragrancenet.com/cologne/kenneth-cole/kenneth-cole-mankind-hero/aftershave-balm#301592
2560,Yves Saint Laurent,deodorant,Kouros,,men,"artemesia, coriander, clary sage, bergamot, amber moss",romantic,1981,https://www.fragrancenet.com/cologne/yves-saint-laurent/kouros/deodorant#148627
2561,Kenzo,eau de toilette,L'Eau Kenzo,5,men,,,,https://www.fragrancenet.com/cologne/kenzo/leau-kenzo/edt#295792
2562,Guerlain,eau de parfum,La Petite Robe Noire Intense,5,women,"Bergamot, Raspberry, Rose, Jasmine, Musk",,2016,https://www.fragrancenet.com/perfume/guerlain/la-petite-robe-noire-intense/eau-de-parfum#296565
2563,Lalique,eau de parfum,Lalique Reve d'Infini,,women,,,,https://www.fragrancenet.com/perfume/lalique/lalique-reve-dinfini/eau-de-parfum#295434
2564,Lomani,eau de toilette spray 3.3 oz & deodorant spray 6.6 oz,Lomani,,men,"crisp citrus, spice and wood, very refreshing.",casual,1987,https://www.fragrancenet.com/cologne/lomani/lomani/edt-spray-3.3-oz-and-deodorant-spray-6.6-oz#186317
2565,Love 2 Love,jasmine & sparkling mimosa eau de toilette spray 3.4 oz,Love 2 Love,5,women,"Bergamot, Orange, Orange blossom, Peony, White musk",,2014,https://www.fragrancenet.com/perfume/love-2-love/love-2-love/jasmine-and-sparkling-mimosa-edt-spray-3.4-oz#284221
2566,Marc Jacobs,body lotion,Marc Jacobs Daisy Dream,4.667,women,"Pear, Grapefruit, Lavender, Wisteria, Coconut",,2014,https://www.fragrancenet.com/perfume/marc-jacobs/marc-jacobs-daisy-dream/body-lotion#256538
2567,Chloe,body lotion,Narcisse,5,women,"Narcissus, Apricot, Carnation, Peach, Spices",casual,1992,https://www.fragrancenet.com/perfume/chloe/narcisse/body-lotion#121655
2568,Oscar de la Renta,body lotion,Oscar De La Renta Jasmine,5,women,"Neroli, Bergamot, Silican Lemon, Orange Blossom, Tonka Beans",,2016,https://www.fragrancenet.com/perfume/oscar-de-la-renta/oscar-de-la-renta-jasmine/body-lotion#304517
2569,Paco Rabanne,eau de toilette,Paco Rabanne 1 Million Intense,4.875,men,"blood mandarin, cardamom, black pepper, saffron, rose",,2008,https://www.fragrancenet.com/cologne/paco-rabanne/paco-rabanne-1-million-intense/edt#279349
2570,Perry Ellis,eau de toilette,Perry,4,men,,casual,,https://www.fragrancenet.com/cologne/perry-ellis/perry/edt#216350
