Id,Brand,Category,Name,Rating,Gender,Notes,Recommended Time,Year,Perfume Url
1,Dolce & Gabbana,eau de toilette,D & G Light Blue,4.847,women,"Apple, Cedar, Bellflower, Sicilian lemon, White rose",casual,2001,https://www.fragrancenet.com/perfume/dolce-and-gabbana/d-and-g-light-blue/edt#120682
2,Giorgio Armani,eau de toilette,Acqua Di Gio,4.872,men,"Orange, Lime, Jasmine, Bergamot, Neroli",casual,1996,https://www.fragrancenet.com/cologne/giorgio-armani/acqua-di-gio/edt#126343
3,Davidoff,eau de toilette,Cool Water,4.682,men,"Rosemary, Mint, Sandalwood, Lavender, Cedar",daytime,2016,https://www.fragrancenet.com/cologne/davidoff/cool-water/edt#115948
4,Juicy Couture,eau de parfum,Viva La Juicy,4.781,women,"Mandarin orange, Wild berries, Honeysuckle, Gardenia, Jasmine",casual,2008,https://www.fragrancenet.com/perfume/juicy-couture/viva-la-juicy/eau-de-parfum#164023
5,Calvin Klein,eau de toilette,Eternity,4.719,men,"Lavender, Mandarin orange, Bergamot, Lemon, Coriander",daytime,1990,https://www.fragrancenet.com/cologne/calvin-klein/eternity/edt#121737
6,Gianni Versace,eau de toilette,Versace Eros,4.814,men,"Mint, Green apple, Lemon, Tonka bean, Geranium",,2012,https://www.fragrancenet.com/cologne/gianni-versace/versace-eros/edt#232011
7,Mont Blanc,eau de toilette,Mont Blanc Legend,4.789,men,"Lavender, Bergamot, Lemon Verbena, Pineapple, Coumarin",casual,2011,https://www.fragrancenet.com/cologne/mont-blanc/mont-blanc-legend/edt#209257
8,Calvin Klein,eau de parfum,Eternity,4.9,women,"Freesia, Mandarin, Sage, Muguet, White lily",daytime,1988,https://www.fragrancenet.com/perfume/calvin-klein/eternity/eau-de-parfum#117740
9,Calvin Klein,eau de toilette,Ck One,4.794,unisex,"Pineapple, Mandarin orange, Papaya, Bergamot, Cardamom",daytime,1994,https://www.fragrancenet.com/fragrances/calvin-klein/ck-one/edt#115760
10,Calvin Klein,eau de toilette,Obsession,4.785,men,"Coriander, Lavender, Mandarin orange, Grapefruit, Bergamot",daytime,1986,https://www.fragrancenet.com/cologne/calvin-klein/obsession/edt#115979
11,Gianni Versace,eau de toilette,Versace Bright Crystal,4.819,women,"Pomegranate, Peony, Yuzu, Magnolia, Lotus Flower",casual,N/A,https://www.fragrancenet.com/perfume/gianni-versace/versace-bright-crystal/edt#145893
12,Calvin Klein,eau de parfum,Euphoria,4.879,women,"Bergamot, Peach, Green Notes, Lotus, Orchid",romantic,2009,https://www.fragrancenet.com/perfume/calvin-klein/euphoria/eau-de-parfum#139842
13,Jimmy Choo,eau de parfum,Jimmy Choo,4.726,women,"Mandarin Orange, Pear, Green Notes, Orchid, Toffee",daytime,2011,https://www.fragrancenet.com/perfume/jimmy-choo/jimmy-choo/eau-de-parfum#204728
14,Azzaro,eau de toilette,Chrome,4.894,men,"Rosemary, Pineapple, Neroli, Bergamot, Lemon",casual,1996,https://www.fragrancenet.com/cologne/azzaro/chrome/edt#120735
15,Dolce & Gabbana,eau de toilette,D & G Light Blue,4.777,men,"Sicilian mandarin, Frozen grapefruit peel, Bergamot, Juniper, Rosemary",casual,2007,https://www.fragrancenet.com/cologne/dolce-and-gabbana/d-and-g-light-blue/edt#153501
16,Gianni Versace,eau de toilette,Versace Man Eau Fraiche,4.743,men,"Bergamot, Brazilian rosewood, Cardamom, Lemon, Carambola",daytime,2006,https://www.fragrancenet.com/cologne/gianni-versace/versace-man-eau-fraiche/edt#157245
17,Calvin Klein,eau de parfum,Obsession,4.827,women,"Mandarin orange, Vanilla, Peach, Basil, Green notes",daytime,1985,https://www.fragrancenet.com/perfume/calvin-klein/obsession/eau-de-parfum#120689
18,perfume,perfume,Perfume Travel Atomizer,4.809,unisex,,,,https://www.fragrancenet.com/fragrances/discount/perfume-travel-atomizer/perfume#231154
19,Burberry,eau de parfum,Burberry,4.803,women,"Black currant, Peach, Apricot, Pear, Green apple",daytime,1995,https://www.fragrancenet.com/perfume/burberry/burberry/eau-de-parfum#123232
20,Christian Dior,eau de toilette,Dior Sauvage,4.827,men,"Pepper, Calabrian bergamot, Geranium, Lavender, Sichuan pepper",,2015,https://www.fragrancenet.com/cologne/christian-dior/dior-sauvage/edt#283046
21,Nautica,eau de toilette,Nautica Voyage,4.711,men,"Green leaves, Apple, Mimosa, Lotus, Amber",daytime,2006,https://www.fragrancenet.com/cologne/nautica/nautica-voyage/edt#146363
22,Elizabeth Taylor,eau de toilette,White Diamonds,4.843,women,"Orange, Lily, Neroli, Bergamot, Italian Orris Root",casual,1991,https://www.fragrancenet.com/perfume/elizabeth-taylor/white-diamonds/edt#121881
23,Clinique,eau de parfum,Happy,4.954,women,"Orange, Indian mandarin, Plum, Blood grapefruit, Apple",daytime,1997,https://www.fragrancenet.com/perfume/clinique/happy/eau-de-parfum#120800
24,Lancome,eau de parfum,La Vie Est Belle,4.892,women,"Black currant, Pear, Iris, Jasmine, Orange blossom",casual,2012,https://www.fragrancenet.com/perfume/lancome/la-vie-est-belle/eau-de-parfum#238518
25,Paco Rabanne,eau de toilette,Paco Rabanne 1 Million,4.693,men,"Grapefruit, Mint, Blood orange, Rose, Cinnamon",casual,2008,https://www.fragrancenet.com/cologne/paco-rabanne/paco-rabanne-1-million/edt#162533
26,Gianni Versace,eau de toilette,Versace Signature,4.75,men,"Lemon, Neroli, Bergamot, Rose de mai, Hyacinth",casual,2008,https://www.fragrancenet.com/cologne/gianni-versace/versace-signature/edt#159890
27,Jessica McClintock,eau de parfum,Jessica Mcclintock,4.896,women,"Cassia, Basil, Ylang-ylang, Bergamot, Black currant",,1988,https://www.fragrancenet.com/perfume/jessica-mcclintock/jessica-mcclintock/eau-de-parfum#125716
28,Gianni Versace,eau de toilette,Versace Dylan Blue,4.891,men,"Calabrian bergamot , Grapefruit , Fig leaf , Violet leaf , Papyrus",,2016,https://www.fragrancenet.com/cologne/gianni-versace/versace-dylan-blue/edt#291563
29,Issey Miyake,eau de toilette,L'Eau d'Issey,4.811,men,"Yuzu, Cypress, Coriander, Mandarin, Clary sage",evening,1994,https://www.fragrancenet.com/cologne/issey-miyake/leau-dissey/edt#123299
30,Thierry Mugler,eau de parfum,Alien,4.84,women,"Jasmine sambac, Cashmere wood, Amber gris",casual,2009,https://www.fragrancenet.com/perfume/thierry-mugler/alien/eau-de-parfum#203293
31,Coach,eau de parfum,Coach,4.641,women,,,2016,https://www.fragrancenet.com/perfume/coach/coach/eau-de-parfum#289431
32,Estee Lauder,eau de parfum,Beautiful,4.977,women,"Bergamot, Cardamom, Basil, Sandalwood, Musk",casual,2014,https://www.fragrancenet.com/perfume/estee-lauder/beautiful/eau-de-parfum#125990
33,Juicy Couture,eau de parfum,Juicy Couture,4.782,women,"Passionfruit, Mandarin orange, Green apple, Hiacynth, Watermelon",casual,2006,https://www.fragrancenet.com/perfume/juicy-couture/juicy-couture/eau-de-parfum#147003
34,Jean Paul Gaultier,eau de toilette,Jean Paul Gaultier,4.693,men,"Mint, Bergamot, Lavendar, Artemesia, Cinnamon",casual,1995,https://www.fragrancenet.com/cologne/jean-paul-gaultier/jean-paul-gaultier/edt#117745
35,Paul Sebastian,cologne,Paul Sebastian,4.771,men,"Amber, Lavender, Musk, Jasmine, Oakmoss",evening,1979,https://www.fragrancenet.com/cologne/paul-sebastian/paul-sebastian/cologne#116719
36,Estee Lauder,eau de parfum,Pleasures,4.948,women,"Tuberose, Pink pepper, Violet, Freesia, Red berries",daytime,1995,https://www.fragrancenet.com/perfume/estee-lauder/pleasures/eau-de-parfum#121278
37,Nautica,eau de toilette,Nautica Blue,4.75,men,"Pineapple, Peach, Bergamot, Jasmine, Water lily",casual,2005,https://www.fragrancenet.com/cologne/nautica/nautica-blue/edt#158755
38,Joop!,eau de toilette,Joop!,4.741,men,"Orange blossom, Mandarin orange, Bergamot, Amalfi lemon, Jasmine",evening,1989,https://www.fragrancenet.com/cologne/joop/joop/edt#156318
39,Davidoff,eau de toilette,Cool Water,4.844,women,"Pineapple, Quince, Black currant, Lily, Melon",casual,1996,https://www.fragrancenet.com/perfume/davidoff/cool-water/edt#118706
40,Jimmy Choo,eau de toilette,Jimmy Choo,4.69,men,"Pink pepper, Pineapple leaf, Melon, Lavender, Suede",,2014,https://www.fragrancenet.com/cologne/jimmy-choo/jimmy-choo/edt#206777
41,Thierry Mugler,eau de parfum,Angel,4.801,women,"Hedione, Bergamot, Honey, Red Berries, Vanilla",daytime,1992,https://www.fragrancenet.com/perfume/thierry-mugler/angel/eau-de-parfum#119866
42,Gianni Versace,eau de toilette,Versace Yellow Diamond,4.861,women,"Neroli, Bergamot, Amalfi lemon, Pear, African orange flower",casual,2011,https://www.fragrancenet.com/perfume/gianni-versace/versace-yellow-diamond/edt#220467
43,Coach,eau de toilette,Coach For Men,4.6,men,"Green Nashi Pear, Bergamot, Kumquat, Cardamom, Vetiver",,2017,https://www.fragrancenet.com/cologne/coach/coach-for-men/edt#183601
44,Giorgio Armani,eau de toilette,Armani Code,4.847,men,"Bergamot, Lemon, Star anise, Olive blossom, Guaiac wood",romantic,2004,https://www.fragrancenet.com/cologne/giorgio-armani/armani-code/edt#149315
45,Donna Karan,eau de parfum,Dkny Be Delicious,4.788,women,"Mandarin Orange, Blueberry, Apricot, Peach, Sandalwood",casual,2015,https://www.fragrancenet.com/perfume/donna-karan/dkny-be-delicious/eau-de-parfum#133491
46,Alfred Sung,eau de toilette,Sung,4.841,women,"Orange, Galbanum, Hyacinth, Ylang-ylang, Bergamot",daytime,1986,https://www.fragrancenet.com/perfume/alfred-sung/sung/edt#163464
47,Creed,eau de parfum,Creed Aventus,4.753,men,"Bergamot, Black Currant, Pineapple, Apple, Birch",casual,2010,https://www.fragrancenet.com/cologne/creed/creed-aventus/eau-de-parfum#288145
48,Marc Jacobs,eau de toilette,Marc Jacobs Daisy,4.803,women,"Violet leaf, Blood grapefruit, Strawberry, Gardenia, Jasmine",casual,2007,https://www.fragrancenet.com/perfume/marc-jacobs/marc-jacobs-daisy/edt#155423
49,Vera Wang,eau de parfum,Vera Wang,4.769,women,"Iris, Sandalwood, Lily, Gardenia, Mandarin orange",romantic,2002,https://www.fragrancenet.com/perfume/vera-wang/vera-wang/eau-de-parfum#115674
50,Calvin Klein,eau de parfum,Escape,4.88,women,"Apricot, Coriander, Black currant, Melon, Chamomile",romantic,1991,https://www.fragrancenet.com/perfume/calvin-klein/escape/eau-de-parfum#124022
51,Paul Sebastian,eau de parfum,Design,4.87,women,"Tuberose, Orange Blossom, Peach, Jasmine, Rose",daytime,1985,https://www.fragrancenet.com/perfume/paul-sebastian/design/eau-de-parfum#123457
52,Sarah Jessica Parker,eau de parfum,Lovely Sarah Jessica Parker,4.802,women,"Mandarin Orange, Bergamot, Lavender, Martini, White Pepper",casual,2005,https://www.fragrancenet.com/perfume/sarah-jessica-parker/lovely-sarah-jessica-parker/eau-de-parfum#139687
53,Hugo Boss,eau de toilette,Hugo,4.818,men,"Woods, Fresh Citrus, Spicy Leaves",daytime,1995,https://www.fragrancenet.com/cologne/hugo-boss/hugo/edt#242795
54,Gianni Versace,eau de toilette,Versace Crystal Noir,4.837,women,"Ginger, Cardamom, Pepper, Orange Blossom, Amber",evening,2004,https://www.fragrancenet.com/perfume/gianni-versace/versace-crystal-noir/edt#145173
55,Paco Rabanne,eau de toilette,Invictus,4.806,men,"Grapefruit, Mandarin orange, Bay Leaf, Jasmine, Guaiac wood",,2013,https://www.fragrancenet.com/cologne/paco-rabanne/invictus/edt#243307
56,Dolce & Gabbana,eau de toilette,Dolce & Gabbana,4.86,men,"Lavender, Tarragon, Clary Sage, Bergamot, Lemon",evening,1994,https://www.fragrancenet.com/cologne/dolce-and-gabbana/dolce-and-gabbana/edt#117859
57,Exceptional Parfums,eau de toilette,Exceptional-Because You Are,4.6,men,"Citruses, Pineapple, Melon, Mint, Violet leaf",casual,2008,https://www.fragrancenet.com/cologne/exceptional-parfums/exceptional-because-you-are/edt#160053
58,Issey Miyake,eau de toilette,L'Eau d'Issey,4.813,women,"Lotus, Freecia, Cyclamen,?Musk, Sandalwood",casual,1992,https://www.fragrancenet.com/perfume/issey-miyake/leau-dissey/edt#158023
59,Giorgio Armani,eau de parfum,Acqua Di Gioia,5,women,"Grapefruit, Mandarin Orange, Lemon, Water Jasmine, Brown Sugar",evening,2013,https://www.fragrancenet.com/perfume/giorgio-armani/acqua-di-gioia/eau-de-parfum#205310
60,Calvin Klein,eau de toilette,Eternity Aqua,4.837,men,"Citruses, Cucumber, Green notes, Lotus, Lavender",daytime,2010,https://www.fragrancenet.com/cologne/calvin-klein/eternity-aqua/edt#194588
61,Yves Saint Laurent,eau de parfum,Black Opium,4.942,women,"Pink Pepper, Orange Blossom, Pear, Jasmine, Coffee",,2014,https://www.fragrancenet.com/perfume/yves-saint-laurent/black-opium/eau-de-parfum#263014
62,Ralph Lauren,eau de toilette,Polo Red,4.447,men,"Grapefruit, Italian lemon, Cranberry, Saffron, Sage",,2013,https://www.fragrancenet.com/cologne/ralph-lauren/polo-red/edt#243889
63,Exceptional Parfums,eau de parfum,Simply Belle,4.647,women,"Peach, Orange oil, Violet leaf, Jasmine, Lily-of-the-valley",casual,2011,https://www.fragrancenet.com/perfume/exceptional-parfums/simply-belle/eau-de-parfum#200504
64,Hermes,eau de toilette,Terre d'Hermes,4.6,men,"Orange, Pepper, Pelargonium, Grapefruit, Patchouli",daytime,2006,https://www.fragrancenet.com/cologne/hermes/terre-dhermes/edt#146102
65,Oscar de la Renta,eau de toilette,Oscar,4.796,women,"Bergamot, Clove, Coriander, Jasmine, Rose",evening,1977,https://www.fragrancenet.com/perfume/oscar-de-la-renta/oscar/edt#117869
66,Dolce & Gabbana,eau de toilette,The One,4.793,men,"Grapefruit, Coriander, Basil, Ginger, Cardamom",casual,2015,https://www.fragrancenet.com/cologne/dolce-and-gabbana/the-one/edt#160216
67,Kenneth Cole,eau de toilette,Kenneth Cole Black,4.889,men,"Ginger, Basil, Mandarin Orange, Water Mint, Nutmeg",daytime,2003,https://www.fragrancenet.com/cologne/kenneth-cole/kenneth-cole-black/edt#127916
68,Karl Lagerfeld,eau de toilette,Lagerfeld,4.682,men,"Green notes, Tarragon, Clary sage, Bergamot, Sandalwood",evening,1978,https://www.fragrancenet.com/cologne/karl-lagerfeld/lagerfeld/edt#288388
69,Burberry,eau de parfum,Burberry Brit,4.855,women,"Green Almonds, Lemongrass, Pear, Lime, Mahogany",daytime,2004,https://www.fragrancenet.com/perfume/burberry/burberry-brit/eau-de-parfum#146265
70,Armaf,eau de toilette,Armaf Club De Nuit Intense,4.694,men,"Orange, Bergamot,",,Unknown,https://www.fragrancenet.com/cologne/armaf/armaf-club-de-nuit-intense/edt#303895
71,Christian Audigier,eau de parfum,Ed Hardy,4.673,women,"Amber, Musk, Tonka Bean, Vanilla",casual,N/A,https://www.fragrancenet.com/perfume/christian-audigier/ed-hardy/eau-de-parfum#160949
72,Giorgio Armani,parfum,Acqua Di Gio Profumo,4.795,men,"Bergamot, Geranium, Rosemary, Sage, Patchouli",,2015,https://www.fragrancenet.com/cologne/giorgio-armani/acqua-di-gio-profumo/parfum#270146
73,Boucheron,eau de parfum,Boucheron,4.657,women,"Lemon, Basil, Orange Blossom, Bergamot, Tuberose, Geranium, Oakmoss, Tonka Bean",evening,,https://www.fragrancenet.com/perfume/boucheron/boucheron/eau-de-parfum#141433
74,Gucci,eau de toilette,Gucci Guilty,4.409,women,"Watery notes, Litchi, Lily, Wild strawberry, Musk",casual,2015,https://www.fragrancenet.com/perfume/gucci/gucci-guilty/edt#201362
75,Yves Saint Laurent,eau de toilette,La Nuit De L'Homme Yves Saint Laurent,4.37,men,"Cardamom, Bergamot, Virginia Cedar, Lavender, Vetiver",casual,2009,https://www.fragrancenet.com/cologne/yves-saint-laurent/la-nuit-de-lhomme-yves-saint-laurent/edt#298613
76,Burberry,eau de toilette,Burberry,4.813,men,"Tagete, Blackcurrant, Green Apple, Peach, Marigold",casual,1995,https://www.fragrancenet.com/cologne/burberry/burberry/edt#122192
77,Calvin Klein,eau de toilette,Ck Be,4.805,unisex,"Lavender, Green notes, Mint, Mandarin orange, Juniper",daytime,1996,https://www.fragrancenet.com/fragrances/calvin-klein/ck-be/edt#119918
78,Donna Karan,eau de parfum,Cashmere Mist,4.872,women,"Bergamot, Jasmine, Lily-of-the-Valley, Suede, Musk",daytime,1994,https://www.fragrancenet.com/perfume/donna-karan/cashmere-mist/eau-de-parfum#154308
79,Aquolina,eau de toilette,Pink Sugar,4.748,women,"White Flowers, Cotton Candy, Licorice, Caramel, Raspberry",daytime,2009,https://www.fragrancenet.com/perfume/aquolina/pink-sugar/edt#139493
80,Burberry,eau de toilette,Burberry Touch,4.733,men,"Artemisia, Violet leaf, Mandarin orange, Nutmeg, White pepper",daytime,2000,https://www.fragrancenet.com/cologne/burberry/burberry-touch/edt#126578
81,Liz Claiborne,cologne,Curve,4.878,men,"Pineapple, Juniper berries, Lavender, Neroli, Lemon",daytime,1996,https://www.fragrancenet.com/cologne/liz-claiborne/curve/cologne#141193
82,Ralph Lauren,eau de toilette,Polo Black,4.898,men,"Mango, Tangerine, Lemon, Tonka Bean, Sage",casual,2005,https://www.fragrancenet.com/cologne/ralph-lauren/polo-black/edt#164093
83,Mont Blanc,eau de toilette,Mont Blanc Legend Spirit,4.686,men," Bergamot ,  Pink Pepper,  Grapefruit, Lavender, Water Notes",,2016,https://www.fragrancenet.com/cologne/mont-blanc/mont-blanc-legend-spirit/edt#284580
84,Gucci,eau de parfum,Gucci Bamboo,4.538,women,"Orange, Bergamot, Pear, Casablanca Lily, Jasmine",,2016,https://www.fragrancenet.com/perfume/gucci/gucci-bamboo/eau-de-parfum#272613
85,Azzaro,eau de toilette,Azzaro Wanted,4.795,men,"Lemon, Ginger, Lavender, Mint, Guatemalan cardamom",,2016,https://www.fragrancenet.com/cologne/azzaro/azzaro-wanted/edt#290771
86,Burberry,eau de toilette,Burberry London,4.813,men,"Cinnamon, Bergamot, Lavender, Black pepper, Leather",casual,2006,https://www.fragrancenet.com/cologne/burberry/burberry-london/edt#142002
87,Britney Spears,eau de parfum,Fantasy Britney Spears,4.821,women,"Kiwi, Red litchi, Quince, White chocolate, Jasmine",romantic,2005,https://www.fragrancenet.com/perfume/britney-spears/fantasy-britney-spears/eau-de-parfum#140243
88,Elizabeth Arden,eau de toilette,Red Door,4.506,women,,romantic,2014,https://www.fragrancenet.com/perfume/elizabeth-arden/red-door/edt#288403
89,Diane von Furstenberg,eau de parfum,Love Diane,4.863,women,"red currant, apricot, jasmine, licorice, praline",,2012,https://www.fragrancenet.com/perfume/diane-von-furstenberg/love-diane/eau-de-parfum#291015
90,Burberry,eau de parfum,Weekend,4.897,women,"Mignonette, Mandarin orange, Sage, Violet root, Iris",casual,1997,https://www.fragrancenet.com/perfume/burberry/weekend/eau-de-parfum#151340
91,Elizabeth Arden,eau de parfum,Fifth Avenue,4.729,women,"Magnolia, Linden blossom, Mandarin orange, Lilac, Lily of the valley",daytime,1996,https://www.fragrancenet.com/perfume/elizabeth-arden/fifth-avenue/eau-de-parfum#124523
92,Gianni Versace,eau de parfum,Versace Eros Pour Femme,4.833,women,"Mandarin Orange, Sicilian Lemon, White Currant, Raspberry, Calone",,2016,https://www.fragrancenet.com/perfume/gianni-versace/versace-eros-pour-femme/eau-de-parfum#268602
93,Calvin Klein,eau de toilette,Escape,4.917,men,"Eucalyptus, Melon, Juniper, Grapefruit, Mango",daytime,1993,https://www.fragrancenet.com/cologne/calvin-klein/escape/edt#122757
94,Burberry,eau de parfum,Burberry London,4.931,women,"Rose, Honeysuckle, Tangerine, Jasmine, Peony",daytime,2006,https://www.fragrancenet.com/perfume/burberry/burberry-london/eau-de-parfum#141614
95,Giorgio Beverly Hills,eau de toilette,Red,4.795,women,"Bergamot, Osmanthus, Ylang Ylang, Orange Blossom, Peach",casual,1989,https://www.fragrancenet.com/perfume/giorgio-beverly-hills/red/edt#121809
96,Prada,eau de parfum,Prada Candy,4.696,women,"Caramel, Musk, Powdery, Benzoin, Vanilla",romantic,2011,https://www.fragrancenet.com/perfume/prada/prada-candy/eau-de-parfum#217589
97,Ralph Lauren,eau de toilette,Polo Blue,4.689,men,"Boysenberry, Mandarin Orange, Grass, Jasmine, Iris",evening,2015,https://www.fragrancenet.com/cologne/ralph-lauren/polo-blue/edt#120074
98,Lacoste,eau de toilette,Lacoste Eau De Lacoste L.12.12 Blanc,4.76,men,"Grapefruit, Cardamom, Rosemary,  Cedar leaf, Tuberose",casual,2011,https://www.fragrancenet.com/cologne/lacoste/lacoste-eau-de-lacoste-l.12.12-blanc/edt#210710
99,Gianni Versace,eau de parfum,Versace Bright Crystal Absolu,4.786,women,"Yuzu, Pomegranate , Lotus, Peony, Raspberry",,2013,https://www.fragrancenet.com/perfume/gianni-versace/versace-bright-crystal-absolu/eau-de-parfum#253524
100,Michael Kors,eau de parfum,Michael Kors,4.831,women,"Dewy freesia, Tamarind, Chinese osmanthus, Incense, Tuberose",romantic,2000,https://www.fragrancenet.com/perfume/michael-kors/michael-kors/eau-de-parfum#119619
101,Giorgio Armani,eau de parfum,Armani Si,4.897,women,"Black Currant Nectar, Freesia, Rose of Mai, Blondwood and Ambroxan",,2015,https://www.fragrancenet.com/perfume/giorgio-armani/armani-si/eau-de-parfum#243419
102,Christian Dior,eau de parfum,Jadore,4.804,women,"Mandarin Orange, Citruses, Neroli, Rose, Jasmine",daytime,2011,https://www.fragrancenet.com/perfume/christian-dior/jadore/eau-de-parfum#116726
103,Dolce & Gabbana,eau de parfum,The One,4.525,men,"Grapefruit, Coriander, Basil, Ginger, Cardamom",casual,2015,https://www.fragrancenet.com/cologne/dolce-and-gabbana/the-one/eau-de-parfum#278180
104,Lanvin,eau de parfum,Eclat d'Arpege,4.844,women,"Peony, Tea Leaf, Peach Blossom, Green Lilac",casual,2002,https://www.fragrancenet.com/perfume/lanvin/eclat-darpege/eau-de-parfum#128102
105,Cuba,eau de toilette,Cuba Gold,4.522,men,"Pink Pepper, Grapefruit, Vetiver, Lavender, Vanilla",romantic,N/A,https://www.fragrancenet.com/cologne/cuba/cuba-gold/edt#120028
106,Chloe,eau de parfum,Chloe New,4.854,women,"Peony, Lychee, Freesia, Rose, Magnolia",evening,2008,https://www.fragrancenet.com/perfume/chloe/chloe-new/eau-de-parfum#164042
107,Marc Jacobs,eau de toilette,Marc Jacobs Daisy Eau So Fresh,4.786,women,"Green notes, Raspberry, Pear, Grapefruit, Violet",casual,2011,https://www.fragrancenet.com/perfume/marc-jacobs/marc-jacobs-daisy-eau-so-fresh/edt#204816
108,Bob Mackie,eau de toilette,Mackie,4.833,women,"Pineapple, Raspberry, Peach, Tuberose, Orange blossom",casual,1991,https://www.fragrancenet.com/perfume/bob-mackie/mackie/edt#117768
109,Dana,cologne,Navy,4.682,women,"Peach, Orange blossom, Jasmine, Rose, Amber",romantic,1990,https://www.fragrancenet.com/perfume/dana/navy/cologne#123336
110,Jennifer Lopez,eau de toilette,Glow,4.7,women,"Grapefruit, Neroli, Orange blossom, Tuberose, Jasmine",daytime,2002,https://www.fragrancenet.com/perfume/jennifer-lopez/glow/edt#116107
111,Geoffrey Beene,eau de toilette,Grey Flannel,4.667,men,"Galbanum, Neroli, Petitgrain, Bergamot, Lemon",romantic,1975,https://www.fragrancenet.com/cologne/geoffrey-beene/grey-flannel/edt#119573
112,Perry Ellis,eau de toilette,Perry Ellis 360,4.945,women,"Lily, Melon, Osmanthus, Rose, Tangerine",casual,1992,https://www.fragrancenet.com/perfume/perry-ellis/perry-ellis-360/edt#148220
113,Tommy Hilfiger,eau de toilette,Tommy Girl,5,women,"Black currant, Camelia, Mandarin orange, Apple tree blossom, Honeysuckle",daytime,1996,https://www.fragrancenet.com/perfume/tommy-hilfiger/tommy-girl/edt#254235
114,Hugo Boss,eau de toilette,Boss #6,4.7,men,"Vanilla, Plum, Oakmoss, Lemon, Bergamot",casual,1998,https://www.fragrancenet.com/cologne/hugo-boss/boss-6/edt#122702
115,Giorgio Beverly Hills,eau de toilette,Giorgio,4.8,women,"Apricot, Orange blossom, Peach, Bergamot, Tuberose",casual,1981,https://www.fragrancenet.com/perfume/giorgio-beverly-hills/giorgio/edt#119425
116,Gianni Versace,eau de toilette,Dreamer,4.769,men,"Lavender, Mandarin orange, Sage, Carnation, Tobacco",casual,1996,https://www.fragrancenet.com/cologne/gianni-versace/dreamer/edt#122041
117,Mont Blanc,eau de parfum,Mont Blanc Legend Night,4.647,men,"Bergamot, Clary Sage, Mint, Cedar, Musk",,2017,https://www.fragrancenet.com/cologne/mont-blanc/mont-blanc-legend-night/eau-de-parfum#298185
118,Burberry,eau de parfum,Burberry Body,4.526,women,"Green Apple, Peach, Wormwood, Rose, Sandalwood",casual,2012,https://www.fragrancenet.com/perfume/burberry/burberry-body/eau-de-parfum#218391
119,Jaguar,eau de toilette,Jaguar Classic Black,4.9,men,"vetiver, nutmeg, green apple, mandarin orange, cedar, cardamom, black tea, musk, geranium, marine accord, sandalwood, moss, orange, tonka",,2009,https://www.fragrancenet.com/cologne/jaguar/jaguar-classic-black/edt#195314
120,Carolina Herrera,eau de parfum,Ch Good Girl,4.724,women,"Almond, Coffee, Jasmine sambac, Tuberose, Tonka bean",,2016,https://www.fragrancenet.com/perfume/carolina-herrera/ch-good-girl/eau-de-parfum#288609
121,Revlon,cologne,Ciara 100%,4.897,women,"Neroli, Bergamot, Lemon, Raspberry, Jasmine",romantic,1973,https://www.fragrancenet.com/perfume/revlon/ciara-100/cologne#125892
122,Creed,eau de parfum,Creed Green Irish Tweed,4.704,men,"sandalwood, lemon.",daytime,1985,https://www.fragrancenet.com/cologne/creed/creed-green-irish-tweed/eau-de-parfum#115548
123,Lancome,eau de parfum,Tresor,4.927,women,"Sandalwood , Rose, Lilac, vanilla, Black currant",casual,2014,https://www.fragrancenet.com/perfume/lancome/tresor/eau-de-parfum#250545
124,Givenchy,eau de toilette,Amarige,4.87,women,"Orange blossom, Plum, Mandarin orange, Violet, Peach",casual,1991,https://www.fragrancenet.com/perfume/givenchy/amarige/edt#121450
125,Muelhens,cologne,4711,4.711,unisex,"Orange oil, Peach, Basil, Bergamot, Lemon",evening,1792,https://www.fragrancenet.com/fragrances/muelhens/4711/cologne#126225
126,Giorgio Beverly Hills,eau de toilette,Wings,4.873,women,"Gardenia, Lily, Passion flower, Rose, Osmanthus",romantic,1992,https://www.fragrancenet.com/perfume/giorgio-beverly-hills/wings/edt#123397
127,Calvin Klein,eau de toilette,Euphoria Men,4.556,men,"Ginger, Pepper, Sage, Black Basil, Vetiver",daytime,2008,https://www.fragrancenet.com/cologne/calvin-klein/euphoria-men/edt#145853
128,Clinique,perfume,Aromatics Elixir,4.871,women,"Coriander, Chamomile, Clary sage, Lemon verbena, Bergamot",daytime,1971,https://www.fragrancenet.com/perfume/clinique/aromatics-elixir/perfume#128548
129,Dolce & Gabbana,eau de parfum,The One,4.803,women,"Mandarin, Lychee, Bergamot, Peach, Madonna lily",evening,2015,https://www.fragrancenet.com/perfume/dolce-and-gabbana/the-one/eau-de-parfum#150408
130,Jessica Simpson,eau de parfum,Fancy Love,4.845,women,"Bergamot, Peach Blossom, Goji Leaf, Pink Champagne, Peony",casual,2009,https://www.fragrancenet.com/perfume/jessica-simpson/fancy-love/eau-de-parfum#181857
131,Boucheron,eau de parfum,Boucheron,4.757,men,"Orange, Lavender, Mandarin Orange, Basil , Lemon Verbena",romantic,1991,https://www.fragrancenet.com/cologne/boucheron/boucheron/eau-de-parfum#120600
